artifact_key,node_full_path,topic,domain,indicator_name,short_name,kb_level,achievement_text,achievement_item_no,achievement_item_text,title,description
СЗИ.2FA.4#1,СЗИ.Двухфакторная аутентификация пользователей (2FA).СЗИ.2FA.4.1,СЗИ,Двухфакторная аутентификация пользователей (2FA),Двухфакторная аутентификация используется для привелигированных УЗ,СЗИ.2FA.4,КБ1,"1. Снимки экрана/выгрузка конфигураций консоли управления средствами 2FA
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",1,Снимки экрана/выгрузка конфигураций консоли управления средствами 2FA,Снимки экрана/выгрузка конфигураций консоли управления средствами 2FA,""
СЗИ.2FA.4#2,СЗИ.Двухфакторная аутентификация пользователей (2FA).СЗИ.2FA.4.2,СЗИ,Двухфакторная аутентификация пользователей (2FA),Двухфакторная аутентификация используется для привелигированных УЗ,СЗИ.2FA.4,КБ1,"1. Снимки экрана/выгрузка конфигураций консоли управления средствами 2FA
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",2,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,""
СЗИ.2FA.4#3,СЗИ.Двухфакторная аутентификация пользователей (2FA).СЗИ.2FA.4.3,СЗИ,Двухфакторная аутентификация пользователей (2FA),Двухфакторная аутентификация используется для привелигированных УЗ,СЗИ.2FA.4,КБ1,"1. Снимки экрана/выгрузка конфигураций консоли управления средствами 2FA
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",3,Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования,Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования,""
СЗИ.CPT.1#1,СЗИ.Защита внешнего инфраструктурного периметра (CPT).СЗИ.CPT.1.1,СЗИ,Защита внешнего инфраструктурного периметра (CPT),Процент покрытия активов на внешнем периметре лицензиями/договорами,СЗИ.CPT.1,КБ1,"1. Скан-копия лицензии
2. Снимки экрана/выгрузка конфигураций консоли управления средствами CPT

Снак-копия договора на предоставление услуги",1,Скан-копия лицензии,Скан-копия лицензии,""
СЗИ.CPT.1#2,СЗИ.Защита внешнего инфраструктурного периметра (CPT).СЗИ.CPT.1.2,СЗИ,Защита внешнего инфраструктурного периметра (CPT),Процент покрытия активов на внешнем периметре лицензиями/договорами,СЗИ.CPT.1,КБ1,"1. Скан-копия лицензии
2. Снимки экрана/выгрузка конфигураций консоли управления средствами CPT

Снак-копия договора на предоставление услуги",2,"Снимки экрана/выгрузка конфигураций консоли управления средствами CPT

Снак-копия договора на предоставление услуги","Снимки экрана/выгрузка конфигураций консоли управления средствами CPT

Снак-копия договора на предоставление услуги",""
СЗИ.CPT.2,СЗИ.Защита внешнего инфраструктурного периметра (CPT).СЗИ.CPT.2,СЗИ,Защита внешнего инфраструктурного периметра (CPT),Процент охваченных регулярным сканированием активов от числа покрытых лицензиями (процент утилизации закупленных лицензий),СЗИ.CPT.2,КБ1,Снимки экрана/выгрузка конфигураций консоли управления средствами CPT,,Снимки экрана/выгрузка конфигураций консоли управления средствами CPT,Снимки экрана/выгрузка конфигураций консоли управления средствами CPT,""
СЗИ.CPT.3,СЗИ.Защита внешнего инфраструктурного периметра (CPT).СЗИ.CPT.3,СЗИ,Защита внешнего инфраструктурного периметра (CPT),Внедрен процесс управления уязвимостями на периметре (CPT),СЗИ.CPT.3,КБ1,Отчеты сканирования CPT,,Отчеты сканирования CPT,Отчеты сканирования CPT,""
СЗИ.RA-VPN.1,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.1,СЗИ,Защита удаленного доступа (RA VPN),Наличие средств RA VPN,СЗИ.RA-VPN.1,КБ1,Снимки экрана/выгрузка конфигураций консоли управления средствами RA VPN,,Снимки экрана/выгрузка конфигураций консоли управления средствами RA VPN,Снимки экрана/выгрузка конфигураций консоли управления средствами RA VPN,""
СЗИ.RA-VPN.2#1,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.2.1,СЗИ,Защита удаленного доступа (RA VPN),Покрытие инфраструктуры средствами защищенного удаленного доступа,СЗИ.RA-VPN.2,КБ1,"1. Скан-копия лицензии
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",1,Скан-копия лицензии,Скан-копия лицензии,""
СЗИ.RA-VPN.2#2,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.2.2,СЗИ,Защита удаленного доступа (RA VPN),Покрытие инфраструктуры средствами защищенного удаленного доступа,СЗИ.RA-VPN.2,КБ1,"1. Скан-копия лицензии
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",2,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,""
СЗИ.RA-VPN.2#3,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.2.3,СЗИ,Защита удаленного доступа (RA VPN),Покрытие инфраструктуры средствами защищенного удаленного доступа,СЗИ.RA-VPN.2,КБ1,"1. Скан-копия лицензии
2. Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа
3. Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования",3,Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования,Снимки экрана/выгрузка конфигураций пограничного сетевого оборудования,""
СЗИ.RA-VPN.3,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.3,СЗИ,Защита удаленного доступа (RA VPN),Осуществляется централизованное управление удаленным доступом,СЗИ.RA-VPN.3,КБ1,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,Снимки экрана/выгрузка конфигураций консоли управления средства удаленного доступа,""
СЗИ.RA-VPN.4,СЗИ.Защита удаленного доступа (RA VPN).СЗИ.RA-VPN.4,СЗИ,Защита удаленного доступа (RA VPN),Наличие действующего сертификата ФСБ России на этапе проведения аудита,СЗИ.RA-VPN.4,КБ1,Сертификат ФСБ России,,Сертификат ФСБ России,Сертификат ФСБ России,""
СЗИ.WAF.2,СЗИ.Обнаружение и блокирование сетевых атак на web-приложении (WAF).СЗИ.WAF.2,СЗИ,Обнаружение и блокирование сетевых атак на web-приложении (WAF),Процедура публикации внешних ресурсов описана и контролируется службой ИБ,СЗИ.WAF.2,КБ1,Инструкции/статьи в базе знаний/письма в электронной почте,,Инструкции/статьи в базе знаний/письма в электронной почте,Инструкции/статьи в базе знаний/письма в электронной почте,""
СЗИ.ВПО.1,СЗИ.Защита от ВПО.СЗИ.ВПО.1,СЗИ,Защита от ВПО,Процент покрытия инфраструктуры лицензиями на антивирусное ПО,СЗИ.ВПО.1,КБ1,Скан копия лицензии,,Скан копия лицензии,Скан копия лицензии,""
СЗИ.ВПО.2,СЗИ.Защита от ВПО.СЗИ.ВПО.2,СЗИ,Защита от ВПО,Процент покрытия инфраструктуры средствами антивирусного ПО,СЗИ.ВПО.2,КБ1,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,""
СЗИ.ВПО.3,СЗИ.Защита от ВПО.СЗИ.ВПО.3,СЗИ,Защита от ВПО,Осуществляется централизованное управление средствами антивирусной защиты (САВЗ),СЗИ.ВПО.3,КБ1,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,""
СЗИ.ВПО.4,СЗИ.Защита от ВПО.СЗИ.ВПО.4,СЗИ,Защита от ВПО,"Настроены и применены централизованные политики АВЗ, рекомендованые ПАО ""Ростелеком""",СЗИ.ВПО.4,КБ1,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,""
СЗИ.ВПО.5,СЗИ.Защита от ВПО.СЗИ.ВПО.5,СЗИ,Защита от ВПО,Архитектура решения соответствует ТТР Блока ИБ,СЗИ.ВПО.5,КБ1,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,Снимки экрана/выгрузка конфигураций консоли управления  средства АВЗ,""
СЗИ.ВПО.6,СЗИ.Защита от ВПО.СЗИ.ВПО.6,СЗИ,Защита от ВПО,Процесс контроля работоспособности САВЗ,СЗИ.ВПО.6,КБ1,"Формализованный документ, регламентирующий антивирусную защиту в Обществе",,"Формализованный документ, регламентирующий антивирусную защиту в Обществе","Формализованный документ, регламентирующий антивирусную защиту в Обществе",""
СЗИ.ВПО.7,СЗИ.Защита от ВПО.СЗИ.ВПО.7,СЗИ,Защита от ВПО,Процесс обновления антивирусных средств,СЗИ.ВПО.7,КБ1,"Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс обновления средств АВЗ",,"Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс обновления средств АВЗ","Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс обновления средств АВЗ",""
СЗИ.ВПО.8,СЗИ.Защита от ВПО.СЗИ.ВПО.8,СЗИ,Защита от ВПО,Процесс реагирования на события САВЗ,СЗИ.ВПО.8,КБ1,"Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс реагирования на события средств АВЗ",,"Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс реагирования на события средств АВЗ","Формализованный документ, регламентирующий антивирусную защиту в Обществе, в том числе процесс реагирования на события средств АВЗ",""
СЗИ.СКЗИ.1,СЗИ.СКЗИ ГОСТ.СЗИ.СКЗИ.1,СЗИ,СКЗИ ГОСТ,Защищены взаимодействия между площадками и ЦОД,СЗИ.СКЗИ.1,КБ1,"Сетевые схемы информационного взаимодействия между площадками
Технический проект/техно-рабочий проект/проектная документация на систему защиты каналов связи
Формуляры СКЗИ
Снимки экрана/выгрузка конфигураций консоли управления СКЗИ",,"Сетевые схемы информационного взаимодействия между площадками
Технический проект/техно-рабочий проект/проектная документация на систему защиты каналов связи
Формуляры СКЗИ
Снимки экрана/выгрузка конфигураций консоли управления СКЗИ","Сетевые схемы информационного взаимодействия между площадками
Технический проект/техно-рабочий проект/проектная документация на систему защиты каналов связи
Формуляры СКЗИ
Снимки экрана/выгрузка конфигураций консоли управления СКЗИ",""
СЗИ.СКЗИ.2,СЗИ.СКЗИ ГОСТ.СЗИ.СКЗИ.2,СЗИ,СКЗИ ГОСТ,Осуществляется централизованное управление СКЗИ,СЗИ.СКЗИ.2,КБ1,Снимки экрана/выгрузка конфигураций консоли управления СКЗИ,,Снимки экрана/выгрузка конфигураций консоли управления СКЗИ,Снимки экрана/выгрузка конфигураций консоли управления СКЗИ,""
СЗИ.СКЗИ.4,СЗИ.СКЗИ ГОСТ.СЗИ.СКЗИ.4,СЗИ,СКЗИ ГОСТ,Наличие действующего сертификата ФСБ на этапе проведения аудита,СЗИ.СКЗИ.4,КБ1,"Сертификат ФСБ России, формуляры",,"Сертификат ФСБ России, формуляры","Сертификат ФСБ России, формуляры",""
СУИБ.УР.1,Управление ИБ.Система управления ИБ.СУИБ.УР.1,Управление ИБ,Система управления ИБ,Утверждена Политика информационной безопасности Общества,СУИБ.УР.1,КБ1,Утвержденная Политика ИБ,,Утвержденная Политика ИБ,Утвержденная Политика ИБ,""
СУИБ.УР.2,Управление ИБ.Система управления ИБ.СУИБ.УР.2,Управление ИБ,Система управления ИБ,"Назначено лицо, ответственное за обеспечение информационной безопасности",СУИБ.УР.2,КБ1,Утвержденный приказ об ответственном за обеспечение ИБ,,Утвержденный приказ об ответственном за обеспечение ИБ,Утвержденный приказ об ответственном за обеспечение ИБ,""
СУИБ.УР.3,Управление ИБ.Система управления ИБ.СУИБ.УР.3,Управление ИБ,Система управления ИБ,Создано подразделение по ИБ или задачи возложены на другое подразделение,СУИБ.УР.3,КБ1,Утвержденное положение о подразделении ИБ,,Утвержденное положение о подразделении ИБ,Утвержденное положение о подразделении ИБ,""
СУИБ.УР.4,Управление ИБ.Система управления ИБ.СУИБ.УР.4,Управление ИБ,Система управления ИБ,Определены цели обеспечения ИБ,СУИБ.УР.4,КБ1,Формализованные цели обеспечения ИБ,,Формализованные цели обеспечения ИБ,Формализованные цели обеспечения ИБ,""
СУИБ.УР.5,Управление ИБ.Система управления ИБ.СУИБ.УР.5,Управление ИБ,Система управления ИБ,Наличие планов развития ИБ,СУИБ.УР.5,КБ1,Формализованные Планы развития ИБ,,Формализованные Планы развития ИБ,Формализованные Планы развития ИБ,""
УИБ.AW.1,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.1,Управление ИБ,Осведомленность пользователей и обучение персонала,Проводится регулярное профессиональное обучение и повышение квалификации работников ИБ,УИБ.AW.1,КБ1,Скан-копии дипломов\удостоверений\сертификатов\договоров на обучение,,Скан-копии дипломов\удостоверений\сертификатов\договоров на обучение,Скан-копии дипломов\удостоверений\сертификатов\договоров на обучение,""
УИБ.AW.10,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.10,Управление ИБ,Осведомленность пользователей и обучение персонала,Осуществляется обучение привелигированных пользователей приемам безопасной работы,УИБ.AW.10,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.AW.2,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.2,Управление ИБ,Осведомленность пользователей и обучение персонала,Проводится регулярное повышение осведомленности работников Общества,УИБ.AW.2,КБ1,Скриншоты рассылок,,Скриншоты рассылок,Скриншоты рассылок,""
УИБ.AW.3,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.3,Управление ИБ,Осведомленность пользователей и обучение персонала,При приеме на работу проводится инструктаж по информационной безопасности  и повторяется раз в год или чаще.,УИБ.AW.3,КБ1,Журналы инструктажа\выгрузка из образовательной платформы,,Журналы инструктажа\выгрузка из образовательной платформы,Журналы инструктажа\выгрузка из образовательной платформы,""
УИБ.AW.4,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.4,Управление ИБ,Осведомленность пользователей и обучение персонала,Учебные материалы пересматриваются раз в год или чаще.,УИБ.AW.4,КБ1,"Справки/аналитические записки, материалы/служебные записки/протоколы заседаний РГ, комиссий и т.д.",,"Справки/аналитические записки, материалы/служебные записки/протоколы заседаний РГ, комиссий и т.д.","Справки/аналитические записки, материалы/служебные записки/протоколы заседаний РГ, комиссий и т.д.",""
УИБ.AW.5,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.5,Управление ИБ,Осведомленность пользователей и обучение персонала,Осуществляется обучение работников распознавать атаки с использованием социальной инженерии,УИБ.AW.5,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.AW.6,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.6,Управление ИБ,Осведомленность пользователей и обучение персонала,"Осуществляется обучение работников по теме многофакторной аутентификации, создании сильных паролей и управлении учетными записями.",УИБ.AW.6,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.AW.7,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.7,Управление ИБ,Осведомленность пользователей и обучение персонала,"Осуществляется обучение работников о необходимости блокировать рабочие станции, стирать информацию с флипчартов и виртуальных досок после совещаний и хранить данные в защищенном месте.",УИБ.AW.7,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.AW.8,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.8,Управление ИБ,Осведомленность пользователей и обучение персонала,"Осуществляется обучение работников по теме ошибочной отправки и публикации конфиденциальных данных, потери рабочих устройств и съемных носителей.",УИБ.AW.8,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.AW.8~ab29af2e,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.8.ab29af2e,Управление ИБ,Осведомленность пользователей и обучение персонала,"Осуществляется обучение работников по теме ошибочной отправки и публикации конфиденциальных данных, потери рабочих устройств и съемных носителей.",УИБ.AW.8,КБ1,Скриншоты образовательной платформы\договор на предоставление услуг по обучению,,Скриншоты образовательной платформы\договор на предоставление услуг по обучению,Скриншоты образовательной платформы\договор на предоставление услуг по обучению,""
УИБ.AW.9,Управление ИБ.Осведомленность пользователей и обучение персонала.УИБ.AW.9,Управление ИБ,Осведомленность пользователей и обучение персонала,Осуществляется обучение работников распознавать инциденты безопасности и сообщать о них,УИБ.AW.9,КБ1,Скрин-шот образовательного курса,,Скрин-шот образовательного курса,Скрин-шот образовательного курса,""
УИБ.Д.2,Управление ИБ.Защита данных и информации.УИБ.Д.2,Управление ИБ,Защита данных и информации,Данные на носимых устройствах хранятся в зашифрованном виде,УИБ.Д.2,КБ1,Скрин-шот\выгрузка настроек и\или политик средств шифрования,,Скрин-шот\выгрузка настроек и\или политик средств шифрования,Скрин-шот\выгрузка настроек и\или политик средств шифрования,""
УИБ.Д.3,Управление ИБ.Защита данных и информации.УИБ.Д.3,Управление ИБ,Защита данных и информации,"Передаваемые между сегментами, сетями за пределами контролируемой зоны данные защищены (сетевые протоколы шифрования и VPN)",УИБ.Д.3,КБ1,Описание правил защищенного информационного взаимодействия,,Описание правил защищенного информационного взаимодействия,Описание правил защищенного информационного взаимодействия,""
УИБ.ИА.1,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.1,Управление ИБ,Идентификация и аутентификация,"Парольная политика соответствуют требованиям ПАО ""Ростелеком""",УИБ.ИА.1,КБ1,"Формализованный документ, определяющий требования к парольной политике
Скрин-шот\выгрузка парольных политик",,"Формализованный документ, определяющий требования к парольной политике
Скрин-шот\выгрузка парольных политик","Формализованный документ, определяющий требования к парольной политике
Скрин-шот\выгрузка парольных политик",""
УИБ.ИА.2,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.2,Управление ИБ,Идентификация и аутентификация,Доступ пользователей осуществляется под уникальными и персонифицированными учетными записями,УИБ.ИА.2,КБ1,"- Предоставить ВНД в котором регламентирован порядок использования учетных записей
 - Представить реквизиты приказа об утверждении ВНД
 - Предоставить подтверждение регулярного прохождения процедуры контроля использования учетных запимей",,"- Предоставить ВНД в котором регламентирован порядок использования учетных записей
 - Представить реквизиты приказа об утверждении ВНД
 - Предоставить подтверждение регулярного прохождения процедуры контроля использования учетных запимей","- Предоставить ВНД в котором регламентирован порядок использования учетных записей
 - Представить реквизиты приказа об утверждении ВНД
 - Предоставить подтверждение регулярного прохождения процедуры контроля использования учетных запимей",""
УИБ.ИА.3,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.3,Управление ИБ,Идентификация и аутентификация,"Аутентификация программных сервисов, устройств и т.п. осуществляется с использованием технологических учетных записей",УИБ.ИА.3,КБ1,"Скриншот\выгрузкаа конфигураций AD и настроек программных сервисов;
Формализованных документ, устанавливающий запрет на запуск сервисов с использованием УЗ пользователей",,"Скриншот\выгрузкаа конфигураций AD и настроек программных сервисов;
Формализованных документ, устанавливающий запрет на запуск сервисов с использованием УЗ пользователей","Скриншот\выгрузкаа конфигураций AD и настроек программных сервисов;
Формализованных документ, устанавливающий запрет на запуск сервисов с использованием УЗ пользователей",""
УИБ.ИА.4,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.4,Управление ИБ,Идентификация и аутентификация,"Запрещено использование предустановленных аутентификационных данных, создание учетных записей с пустыми паролями и предоставление доступа без идентификации",УИБ.ИА.4,КБ1,"Формализованный документ, определяющий требования к учетным записям и процессу аутентификации в ИС",,"Формализованный документ, определяющий требования к учетным записям и процессу аутентификации в ИС","Формализованный документ, определяющий требования к учетным записям и процессу аутентификации в ИС",""
УИБ.ИА.6,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.6,Управление ИБ,Идентификация и аутентификация,"Внедрены политики и механизмы безопасности блокирования УЗ при неправильном вводе пароля, рекомендованые ПАО Ростелеком",УИБ.ИА.6,КБ1,"Выгрузка\скриншот политик LDAP
Выгрузка\скриншот конфигураций ИС",,"Выгрузка\скриншот политик LDAP
Выгрузка\скриншот конфигураций ИС","Выгрузка\скриншот политик LDAP
Выгрузка\скриншот конфигураций ИС",""
УИБ.ИА.7,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.7,Управление ИБ,Идентификация и аутентификация,"Наличие ограничения количества параллельных сессий удаленного доступа у одной учетной записи (пользователя, администратора, технической).",УИБ.ИА.7,КБ1,Выгрузка\скриншот политик\настроек средств удаленного доступа,,Выгрузка\скриншот политик\настроек средств удаленного доступа,Выгрузка\скриншот политик\настроек средств удаленного доступа,""
УИБ.ИА.8,Управление ИБ.Идентификация и аутентификация.УИБ.ИА.8,Управление ИБ,Идентификация и аутентификация,"Осуществляется запрет на хранение, использование и передачу аутентификационных данных в открытом виде",УИБ.ИА.8,КБ1,"Формализованный документ, в котором установлен запрет на пересылку паролей пользователями в открытом виде, а также определен порядок защищенной передачи паролей",,"Формализованный документ, в котором установлен запрет на пересылку паролей пользователями в открытом виде, а также определен порядок защищенной передачи паролей","Формализованный документ, в котором установлен запрет на пересылку паролей пользователями в открытом виде, а также определен порядок защищенной передачи паролей",""
УИБ.ИН.1,Управление ИБ.Инвентаризация.УИБ.ИН.1,Управление ИБ,Инвентаризация,"Ведется учет используемых и (или) эксплуатируемых физических устройств (АРМ, сервера, принтеры, коммутационное оборудование и т.п.)",УИБ.ИН.1,КБ1,Скриншот\выгрузка Реестра эксплуатируемых АРМ и серверов,,Скриншот\выгрузка Реестра эксплуатируемых АРМ и серверов,Скриншот\выгрузка Реестра эксплуатируемых АРМ и серверов,""
УИБ.ИН.2,Управление ИБ.Инвентаризация.УИБ.ИН.2,Управление ИБ,Инвентаризация,Ведется учет имеющегося и используемого ПО,УИБ.ИН.2,КБ1,Скриншот\выгрузка реестра ПО,,Скриншот\выгрузка реестра ПО,Скриншот\выгрузка реестра ПО,""
УИБ.ИН.3,Управление ИБ.Инвентаризация.УИБ.ИН.3,Управление ИБ,Инвентаризация,"Ведется персонифицированный учет учетных записей (УЗ), технологических УЗ, привилегированных УЗ и УЗ групповых почтовых ящиков",УИБ.ИН.3,КБ1,"Формализованный документ, описывающий процесс управления учетными записями.
Выгрузка конфигураций\скриншоты из  службы каталогов;
Реестр учетных записей",,"Формализованный документ, описывающий процесс управления учетными записями.
Выгрузка конфигураций\скриншоты из  службы каталогов;
Реестр учетных записей","Формализованный документ, описывающий процесс управления учетными записями.
Выгрузка конфигураций\скриншоты из  службы каталогов;
Реестр учетных записей",""
УИБ.ИН.4,Управление ИБ.Инвентаризация.УИБ.ИН.4,Управление ИБ,Инвентаризация,Контроль белого (разрешенного) и черного (неразрешенного) списка программного обеспечения.,УИБ.ИН.4,КБ1,"Реестр разрешенного и запрещенного ПО;
Скрин-шот\выгрузка политик LDAP
должнастная инструкция\регламент администратора либо формализованный документ, определяющий порядок установки ПО",,"Реестр разрешенного и запрещенного ПО;
Скрин-шот\выгрузка политик LDAP
должнастная инструкция\регламент администратора либо формализованный документ, определяющий порядок установки ПО","Реестр разрешенного и запрещенного ПО;
Скрин-шот\выгрузка политик LDAP
должнастная инструкция\регламент администратора либо формализованный документ, определяющий порядок установки ПО",""
УИБ.ИН.5,Управление ИБ.Инвентаризация.УИБ.ИН.5,Управление ИБ,Инвентаризация,Ведется учет использования адресных пространств (IP),УИБ.ИН.5,КБ1,Скриншот\выгрузка реестра адресных пространств,,Скриншот\выгрузка реестра адресных пространств,Скриншот\выгрузка реестра адресных пространств,""
УИБ.ИН.6,Управление ИБ.Инвентаризация.УИБ.ИН.6,Управление ИБ,Инвентаризация,"Ведется учет созданных, используемых и (или) эксплуатируемых ИС",УИБ.ИН.6,КБ1,Скриншот\выгрузка реестра информационных систем,,Скриншот\выгрузка реестра информационных систем,Скриншот\выгрузка реестра информационных систем,""
УИБ.ИН.7,Управление ИБ.Инвентаризация.УИБ.ИН.7,Управление ИБ,Инвентаризация,"Ведется учет опубликованных на внешнем периметре информационные систем, доменов",УИБ.ИН.7,КБ1,Скриншот\выгрузка реестра внешних доменов,,Скриншот\выгрузка реестра внешних доменов,Скриншот\выгрузка реестра внешних доменов,""
